scorer,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000
bodyparts,wrist,wrist,wrist,palm,palm,palm,thumb1,thumb1,thumb1,thumb2,thumb2,thumb2,thumb3,thumb3,thumb3,index1,index1,index1,index2,index2,index2,index3,index3,index3,middle1,middle1,middle1,middle2,middle2,middle2,middle3,middle3,middle3,ring1,ring1,ring1,ring2,ring2,ring2,ring3,ring3,ring3,little1,little1,little1,little2,little2,little2,little3,little3,little3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,380.7271086573601,542.2399337291718,1.0,313.6121435165405,509.8706125020981,1.0,332.83949863910675,450.97519063949585,1.0,299.85917845368385,431.28589391708374,1.0,210.39299845695496,426.0249662399292,1.0,280.36868047714233,455.63581943511963,0.7326613664627075,210.5181233882904,442.8536834716797,1.0,261.3958897590637,459.78245639801025,1.0,270.40435910224915,480.7218129634857,0.05485692620277405,202.7835168838501,466.23230361938477,1.0,257.81453680992126,486.6185054779053,1.0,269.1027663946152,515.7493090033531,0.14081478118896484,207.70826649665833,514.2858891487122,1.0,252.23161263763905,516.7823104858398,1.0,267.9693250656128,556.4154348671436,0.42196518182754517,216.02632093429565,552.927426815033,1.0,256.5432720184326,540.7737493515015,1.0
1,383.2848696708679,542.2399337291718,1.0,315.72211769223213,509.8706125020981,1.0,335.4272334575653,450.97519063949585,1.0,301.5066318511963,431.28589391708374,1.0,213.0267367362976,426.0249662399292,1.0,281.25304222106934,455.63581943511963,0.43097248673439026,212.08323378115892,442.8536834716797,1.0,264.00115060806274,459.78245639801025,1.0,274.55874371528625,480.7218129634857,0.03983253240585327,205.5745302438736,466.23230361938477,1.0,260.1408766359091,486.6185054779053,1.0,271.2090587615967,515.7493090033531,0.11038807034492493,208.98942708969116,514.2858891487122,1.0,254.64178609848022,516.7823104858398,1.0,268.71107387542725,556.4154348671436,0.8041274547576904,217.3146390914917,552.927426815033,1.0,258.1561428308487,540.7737493515015,1.0
2,386.7193611860275,542.2399337291718,1.0,319.15731167793274,509.8706125020981,1.0,337.9860911369324,450.97519063949585,1.0,305.4748787879944,431.28589391708374,1.0,217.63890504837036,426.0249662399292,1.0,284.5473371744156,455.63581943511963,0.6821519732475281,217.89588570594788,442.8536834716797,1.0,267.62824535369873,459.78245639801025,1.0,277.4084470272064,480.7218129634857,0.3418046236038208,207.09032082557678,466.23230361938477,1.0,264.15801525115967,486.6185054779053,1.0,273.0515332221985,515.7493090033531,0.43973293900489807,211.17731285095215,514.2858891487122,1.0,258.822741150856,516.7823104858398,1.0,270.34072494506836,556.4154348671436,0.01830357313156128,219.5390486717224,552.927426815033,1.0,261.3662850856781,540.7737493515015,1.0
3,392.79558849334717,534.3115725517273,1.0,323.72769021987915,501.68697583675385,1.0,343.37404346466064,441.04411125183105,1.0,312.8316433429718,421.24124908447266,1.0,227.10385084152222,414.6038808822632,1.0,292.4782129228115,446.3980498313904,0.3012889325618744,224.0101466178894,430.62099027633667,1.0,273.51256227493286,448.6479244232178,1.0,283.07517313957214,471.46921253204346,0.010721474885940552,212.65314483642578,453.3372256755829,1.0,268.60213100910187,477.92025232315063,1.0,278.27051186561584,504.06381392478943,0.1325143277645111,215.32005548477173,504.73353004455566,1.0,264.2399697303772,508.3061637878418,1.0,272.00435495376587,547.6335955262184,0.0019615590572357178,223.762140750885,542.7722940444946,1.0,266.36706030368805,531.3992476463318,1.0
4,398.92475986480713,525.9602291584015,1.0,329.79522132873535,489.6176075935364,1.0,351.00491404533386,428.12362987548113,1.0,320.2104015350342,408.85685443878174,1.0,234.43365287780762,397.07383155822754,1.0,298.1011686325073,432.8836305141449,0.008945465087890625,232.44016456604004,415.4000086784363,1.0,279.55281233787537,435.3752360343933,1.0,287.9108843803406,462.4531683921814,0.002499520778656006,218.3390121459961,438.0807418823242,1.0,275.89246686547995,463.97128081321716,1.0,283.4420475959778,489.52076482772827,0.0036904513835906982,221.2423014640808,490.15146255493164,1.0,268.7918093800545,494.1821596622467,1.0,284.72756814956665,515.425361931324,6.845593452453613e-05,227.12016773223877,528.8556656837463,1.0,270.01806688308716,518.98845911026,1.0
5,406.2039284706116,517.5689502954483,1.0,335.83416748046875,478.3545653820038,1.0,359.8783266544342,416.89463090896606,1.0,329.6705183982849,397.2651786804199,1.0,243.39024549722672,382.9398708343506,1.0,308.00824074074626,421.54210138320923,0.010976523160934448,240.40119743347168,400.18580198287964,1.0,287.1468234062195,420.89831441640854,1.0,292.9487397670746,448.4878902435303,0.009349852800369263,224.62825918197632,423.5207483768463,1.0,282.5350270271301,450.411301612854,1.0,290.4086730480194,483.03592044115067,0.04540666937828064,224.48350858688354,476.49052238464355,1.0,275.8201832026243,481.143187046051,1.0,335.58805203437805,513.9312443733215,0.00011268258094787598,231.87676620483398,517.3275880813599,1.0,275.74102637171745,505.89786529541016,1.0
6,411.7465897500515,511.4997811317444,1.0,342.4743821620941,469.5468771457672,1.0,368.92119455337524,409.4410791397095,1.0,338.51362705230713,387.8093876838684,1.0,250.6481615304947,372.19250202178955,1.0,312.809139251709,411.7864363640547,0.009011775255203247,248.72668743133545,387.19484519958496,1.0,294.7052764892578,411.3520917892456,1.0,301.9035609960556,438.74951934814453,0.0016101598739624023,230.50164031982422,412.5730323791504,1.0,289.17701148986816,441.5640368461609,1.0,293.6535931825638,470.42048931121826,0.009905219078063965,229.16744947433472,465.14827966690063,1.0,281.8491520881653,471.46620988845825,1.0,335.58805203437805,505.32025051116943,7.814168930053711e-05,236.12475109100342,507.33093643188477,1.0,281.2747139930725,495.404648065567,1.0
7,416.5730392932892,509.9296407699585,1.0,347.13359892368317,465.52555799484253,1.0,374.91621017456055,404.23023891448975,1.0,345.1912748813629,381.37746238708496,1.0,255.8087158203125,365.3764305114746,1.0,318.00121426582336,407.8102054595947,0.002045869827270508,253.03544294834137,382.0014431476593,1.0,299.00121784210205,406.4898364543915,1.0,306.25742042064667,433.57739639282227,0.002473503351211548,235.1571791768074,405.11124420166016,1.0,293.7730915546417,434.45438051223755,1.0,297.590838432312,467.73308393359184,0.0037155747413635254,233.69672966003418,459.38777923583984,1.0,285.0669654607773,465.99616718292236,1.0,289.2174508571625,511.63713455200195,9.97781753540039e-05,238.50916862487793,503.7890968322754,1.0,284.2698567211628,492.59298610687256,1.0
