scorer,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000
bodyparts,wrist,wrist,wrist,palm,palm,palm,thumb1,thumb1,thumb1,thumb2,thumb2,thumb2,thumb3,thumb3,thumb3,index1,index1,index1,index2,index2,index2,index3,index3,index3,middle1,middle1,middle1,middle2,middle2,middle2,middle3,middle3,middle3,ring1,ring1,ring1,ring2,ring2,ring2,ring3,ring3,ring3,little1,little1,little1,little2,little2,little2,little3,little3,little3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,381.2345019578934,564.8858354091644,1.0,316.8075793981552,540.5766487121582,1.0,337.48683500289917,462.2111186981201,1.0,289.824923992157,449.66882610321045,1.0,219.0848708152771,411.1682300567627,1.0,272.69922256469727,471.6965880393982,1.0,245.36448657512665,464.7865295410156,1.0,209.8609037399292,456.4136481285095,1.0,264.1824541091919,510.3967604637146,1.0,228.9578178524971,505.16504526138306,1.0,194.2864875793457,500.1392421722412,1.0,262.71526050567627,547.450837790966,1.0,237.97214078903198,546.07759141922,1.0,199.33197355270386,533.9740273952484,1.0,271.80601477622986,587.7078347206116,1.0,243.19915390014648,584.1100935935974,1.0,214.83141493797302,566.9573242664337,1.0
1,381.42675590515137,564.9262586236,1.0,316.8075793981552,540.7423293590546,1.0,337.9000358581543,462.2111186981201,1.0,289.92062997817993,449.68984508514404,1.0,219.3843240737915,411.2086262702942,1.0,272.7112798690796,471.8300452232361,1.0,245.36448657512665,464.82094049453735,1.0,209.93908405303955,456.5843462944031,1.0,264.29759883880615,510.4525384902954,1.0,229.08973348140717,505.2849950790405,1.0,194.35885572433472,500.40004539489746,1.0,262.9244818687439,547.7669741213322,1.0,237.97667229175568,546.2383236885071,1.0,199.44624423980713,534.4210979938507,1.0,271.80601477622986,587.8704915046692,1.0,243.19915390014648,584.5257563591003,1.0,214.83141493797302,566.9819874763489,1.0
2,382.1594514846802,565.1822284460068,1.0,317.08263742923737,540.8569105863571,1.0,338.08745408058167,462.286434173584,1.0,289.9224076271057,449.7279324531555,1.0,220.38245022296906,411.4820227622986,1.0,273.3173704147339,471.85935521125793,1.0,245.7935575246811,464.85775423049927,1.0,210.23405647277832,456.6887674331665,1.0,264.64446926116943,510.7010145187378,1.0,229.189994931221,505.31016778945923,1.0,194.8019573688507,500.4044532775879,1.0,263.2253837585449,547.8347883373499,1.0,238.303701877594,546.2807383537292,1.0,199.72445702552795,534.4693360328674,1.0,272.1485335826874,587.8704915046692,1.0,243.81461906433105,584.7046203613281,1.0,215.3599088191986,567.0059466362,1.0
3,382.1022925376892,565.2534792423248,1.0,317.13974583148956,540.9944970011711,1.0,338.01982271671295,462.286434173584,1.0,289.9224076271057,449.8870778083801,1.0,220.38245022296906,411.67397451400757,1.0,273.3173704147339,471.96488881111145,1.0,245.66657423973083,464.90784311294556,1.0,210.23405647277832,456.82391262054443,1.0,264.75971698760986,510.7367579936981,1.0,229.189994931221,505.4066438674927,1.0,194.8019573688507,500.43403720855713,1.0,263.2253837585449,548.3552341461182,1.0,237.97667229175568,546.3773455619812,1.0,199.72445702552795,534.4891874790192,1.0,272.1485335826874,587.8704915046692,1.0,243.19915390014648,584.7480039596558,1.0,215.3599088191986,567.1303269863129,1.0
4,381.47262489795685,565.6983751058578,1.0,316.8075793981552,541.4621912240982,1.0,337.9000358581543,462.98410081863403,1.0,289.9224076271057,450.72881150245667,1.0,219.95732237026095,412.1931571960449,1.0,273.00853967666626,472.4154939651489,1.0,245.36448657512665,465.7321729660034,1.0,210.93086910247803,457.6349058151245,1.0,264.31168699264526,511.3178565502167,1.0,229.08973348140717,505.9731469154358,1.0,194.65837800502777,501.2332992553711,1.0,263.2257089614868,548.4517126083374,1.0,237.97214078903198,547.0693602561951,1.0,199.82070660591125,534.9661116600037,1.0,271.8542323112488,587.8704915046692,1.0,243.18908393383026,585.6942620277405,1.0,215.47795176506042,567.8587634563446,1.0
5,381.47262489795685,565.8211377859116,1.0,316.8024451136589,541.4621912240982,1.0,337.9000358581543,463.06644773483276,1.0,289.9224076271057,450.72881150245667,1.0,219.95732237026095,412.7634906768799,1.0,273.00853967666626,472.60568952560425,1.0,245.32371139526367,465.8497004508972,1.0,210.93086910247803,457.6349058151245,1.0,264.31168699264526,511.9049689769745,1.0,229.08973348140717,506.0425100326538,1.0,194.65837800502777,501.2332992553711,1.0,263.2257089614868,548.4517126083374,1.0,237.89681994915009,547.0693602561951,1.0,199.82070660591125,534.9661116600037,1.0,271.8542323112488,588.2588481903076,1.0,243.1087965965271,585.6942620277405,1.0,215.47795176506042,568.0461688041687,1.0
6,381.47262489795685,565.8211377859116,1.0,316.8024451136589,541.4621912240982,1.0,337.7126188278198,463.06644773483276,1.0,289.81284618377686,450.72881150245667,1.0,219.95732237026095,412.7634906768799,1.0,273.00853967666626,472.60568952560425,1.0,245.28135704994202,465.8497004508972,1.0,210.93086910247803,457.6349058151245,1.0,264.31168699264526,511.9049689769745,1.0,228.8987017273903,506.0425100326538,1.0,194.65837800502777,501.2332992553711,1.0,263.2257089614868,548.3552341461182,1.0,237.14141881465912,547.0693602561951,1.0,199.82070660591125,534.9661116600037,1.0,271.8542323112488,588.2588481903076,1.0,242.8821885585785,585.6942620277405,1.0,215.47795176506042,568.0461688041687,1.0
7,380.13939432799816,565.8211377859116,1.0,315.74836054444313,541.2753009796143,1.0,336.37378215789795,463.06644773483276,1.0,288.94480895996094,450.4925490617752,1.0,218.82401752471924,412.7634906768799,1.0,271.8933856487274,472.60568952560425,1.0,245.2346887588501,465.8497004508972,1.0,210.3662600517273,457.4232201576233,1.0,263.2921476364136,511.9049689769745,1.0,228.2612340450287,506.0425100326538,1.0,193.94930410385132,500.51384353637695,1.0,262.3851013183594,548.2673555314541,1.0,236.5580232143402,546.9879078865051,1.0,198.85350584983826,534.5349831581116,1.0,271.3521206378937,588.2588481903076,1.0,242.43963432312012,585.6219320297241,1.0,213.79345667362213,568.1208519935608,1.0
