scorer,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000,DeepCut_resnet50_jankenNov30shuffle1_1030000
bodyparts,wrist,wrist,wrist,palm,palm,palm,thumb1,thumb1,thumb1,thumb2,thumb2,thumb2,thumb3,thumb3,thumb3,index1,index1,index1,index2,index2,index2,index3,index3,index3,middle1,middle1,middle1,middle2,middle2,middle2,middle3,middle3,middle3,ring1,ring1,ring1,ring2,ring2,ring2,ring3,ring3,ring3,little1,little1,little1,little2,little2,little2,little3,little3,little3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,387.66198068857193,481.29086112976074,1.0,326.26170778274536,447.2145540714264,1.0,322.47752952575684,378.5664358139038,1.0,278.9012393951416,364.75083380937576,0.9999998807907104,219.37918657064438,341.3379793167114,1.0,285.69725477695465,396.79806584119797,1.0,220.59429264068604,382.0283513069153,1.0,258.33236479759216,386.26186311244965,1.0,284.75562262535095,422.9612228870392,0.9999998807907104,222.66055369377136,417.80727672576904,1.0,265.35278129577637,413.17358589172363,0.9999998807907104,292.92782068252563,453.7697308063507,0.9999568462371826,241.3498249053955,460.4372932612896,1.0,278.5259165763855,451.2117163538933,1.0,301.3835754394531,483.9315320700407,0.9862897992134094,251.49370956420898,495.110342502594,1.0,288.36214876174927,483.10193169116974,1.0
1,410.74904680252075,481.29086112976074,1.0,346.76675164699554,447.2145540714264,0.9999995231628418,344.3522925376892,378.5664358139038,1.0,291.20903062820435,364.75083380937576,0.9999987483024597,239.51373982429504,341.3379793167114,1.0,302.9192910194397,396.79806584119797,0.999995231628418,233.38223218917847,382.0283513069153,1.0,265.4082999229431,386.26186311244965,0.9995194673538208,303.72801542282104,422.9612228870392,0.9969581961631775,235.50473642349243,417.80727672576904,1.0,266.7382779121399,413.17358589172363,0.9998950958251953,310.80722641944885,453.7697308063507,0.9997540712356567,264.28098011016846,460.4372932612896,1.0,284.28810715675354,451.2117163538933,0.9999980330467224,323.977611836046,483.9315320700407,0.9999942779541016,275.5510903298855,495.110342502594,1.0,300.19705025851727,483.10193169116974,0.9999955892562866
2,435.25623977184296,481.29086112976074,1.0,366.7278666496277,447.2145540714264,0.9999986886978149,367.25665760040283,378.5664358139038,1.0,333.77336859703064,364.75083380937576,0.9999997019767761,268.6630557179451,341.3379793167114,1.0,324.30897134542465,396.79806584119797,0.9999996423721313,256.0148105621338,382.0283513069153,0.9999996423721313,282.726291179657,386.26186311244965,0.897527813911438,324.8339141011238,422.9612228870392,0.996538519859314,252.70754837989807,417.80727672576904,0.9999499320983887,283.03250426054,413.17358589172363,0.9949164390563965,322.9600729942322,453.7697308063507,0.9999712705612183,278.8213493824005,460.4372932612896,0.9999793767929077,291.6102146804333,451.2117163538933,0.9999988079071045,336.727632522583,483.9315320700407,0.999994158744812,285.3142498731613,495.110342502594,0.9999994039535522,304.54037714004517,483.10193169116974,0.9999454021453857
3,465.62155628204346,454.8717153072357,1.0,389.8484992980957,398.5426661968231,1.0,402.21730637550354,319.86156034469604,0.9999997615814209,357.8599464893341,302.53210258483887,1.0,306.2933267354965,276.9910224676132,1.0,352.4550919532776,334.9603145122528,0.999999463558197,326.97851371765137,321.95748376846313,0.9984614849090576,316.03308741375804,312.6429286003113,0.999997615814209,346.35828387737274,356.6345717906952,0.9992620348930359,323.9205978065729,344.71013593673706,0.999987006187439,307.4654064774513,339.18515878915787,0.9999921917915344,340.0322089791298,394.2471331357956,0.9999996423721313,317.96230697631836,388.500734269619,0.9999983310699463,301.6049267053604,389.3205213546753,0.9999977350234985,347.0201916694641,434.37596094608307,1.0,323.6696466207504,432.88381719589233,0.9999988675117493,305.0368881225586,431.6047327518463,0.9999984502792358
4,497.67940640449524,429.1209590435028,1.0,417.6489908695221,345.65097761154175,1.0,442.1590094566345,252.42961272597313,1.0,415.5366413593292,233.95044565200806,1.0,362.9282932281494,209.11827516555786,1.0,397.19350016117096,265.9428925514221,1.0,369.3096077442169,246.56607675552368,1.0,363.42430877685547,237.3052794933319,1.0,383.3507571220398,290.4703768491745,1.0,356.8794360756874,277.18234646320343,1.0,342.6018328666687,268.7145748138428,1.0,360.35786294937134,334.71578884124756,1.0,338.40590620040894,323.37779104709625,1.0,322.2580542564392,315.36531299352646,1.0,358.1712830066681,382.9717926979065,1.0,333.917023062706,376.4600396156311,1.0,314.35332202911377,367.52869176864624,1.0
5,528.8063440322876,407.25112557411194,1.0,457.8104786872864,305.2367854118347,1.0,502.6792356967926,213.87660217285156,0.9998588562011719,477.4522399902344,188.576434135437,1.0,426.71828520298004,147.67495703697205,0.9998218417167664,446.1989414691925,209.569109916687,0.9999927282333374,419.34762966632843,188.5214131474495,0.9999998807907104,408.75557470321655,173.99526453018188,1.0,417.4892387390137,242.83054101467133,1.0,392.9320821762085,222.27273511886597,0.9999996423721313,380.8770703673363,210.95222997665405,0.9999997615814209,387.43206399679184,286.5244345664978,0.9999998807907104,366.4651596546173,269.8747740983963,1.0,350.46740913391113,253.74396014213562,0.9999996423721313,379.63126319646835,337.689510345459,1.0,349.2191163301468,323.7947620302439,1.0,337.2477912902832,302.10768818855286,1.0
6,547.3137664794922,396.11457055807114,0.999769926071167,485.37650287151337,281.0539894104004,0.9999997615814209,541.2068139314651,213.87660217285156,0.11827951669692993,519.7963254451752,151.82213258743286,0.9986885786056519,508.8863198161125,88.45749807357788,0.9588227868080139,499.71694082021713,162.4360203742981,0.9999996423721313,474.512526512146,137.95717549324036,0.9999901056289673,459.92925901710987,120.7127594947815,0.9999998807907104,452.6914741396904,204.17483313381672,1.0,428.6584162712097,173.8785161972046,0.9999995231628418,411.50212574005127,158.55132031440735,0.9999871253967285,416.52235674858093,245.0601794719696,1.0,395.9767416473478,225.78606796264648,1.0,382.46099638938904,198.74008965492249,1.0,399.3851046562195,297.1206588745117,1.0,368.8148355484009,279.8133924007416,1.0,367.5120062828064,245.46384298801422,1.0
7,547.3137664794922,392.295289516449,0.0008128881454467773,501.2945747375488,266.2714705467224,1.0,542.3773150444031,213.87660217285156,0.0053656697273254395,539.3088883757591,151.82213258743286,0.0011244714260101318,516.192197561264,87.52935743331909,0.0003546476364135742,515.4197888970375,146.63171792030334,1.0,474.512526512146,104.12490892410278,1.0,499.63323479890823,79.77358078956604,1.0,480.65109634399414,176.67626905441284,1.0,452.4813993573189,136.87262296676636,1.0,438.55659198760986,116.12422275543213,1.0,437.8863641023636,216.04557728767395,1.0,416.8797194957733,187.92893838882446,1.0,406.6710891723633,153.79642486572266,1.0,418.16659355163574,267.6572403907776,1.0,386.54238748550415,246.3555326461792,1.0,388.8749116063118,204.52692699432373,1.0
